ResultType,Strategy,CommonStart,CommonEnd,Observations,MomentumLookback,TransactionCostBps,CumulativeReturn,AnnualizedReturn,AnnualizedVolatility,SharpeRatio,MaximumDrawdown,CalmarRatio,TradeCount,Entries,Exits,TotalTurnover,TimeInMarket
Primary,Buy & Hold,2017-08-01,2026-07-10,2247,,5.0,4.0628225850830955,0.19949188219384628,0.2343900634232286,0.8936989054846871,-0.35617218247976423,0.5600995586037388,1,1,0,1.0,1.0
Primary,MA20/60 Trend,2017-08-01,2026-07-10,2247,,5.0,1.0195186950205022,0.08201531246483063,0.16499106159850485,0.5606542207199605,-0.33882356274270364,0.2420590581154816,39,20,19,39.0,0.7205162438807299
Primary,Momentum252,2017-08-01,2026-07-10,2247,252.0,5.0,3.370551400015664,0.17987456537331337,0.21172258997095536,0.8875628158846629,-0.28559372098911273,0.6298267509185556,5,3,2,5.0,0.8709390298175345
